"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2018";"10 - Saúde";"305 - Vigilância epidemiológica";"286.647.709,86";"36.469.289,30";"35.389.838,84";"302.539.672,78";
"01/2018";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"1.060.455,24";"180.615,24";"0,00";"1.106.035,36";
"02/2018";"10 - Saúde";"124 - Controle interno";"16.360,97";"22.642,20";"22.642,20";"894.058,00";
"02/2018";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"0,00";
"02/2018";"10 - Saúde";"846 - Outros encargos especiais";"2.000,00";"180.439.300,96";"185.981.514,82";"3.531,99";
"02/2018";"10 - Saúde";"541 - Preservação e conservação ambiental";"9.000,00";"7.996,56";"7.996,56";"1.338.020,17";
"02/2018";"10 - Saúde";"121 - Planejamento e orçamento";"15.900,00";"26.008,10";"16.864,00";"39.049,84";
"02/2018";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"4.581.315,04";"1.095.462,34";"1.095.557,34";"1.101.733,72";
"02/2018";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"967.160,67";"750.662,37";"719.432,91";"113.750,53";
"02/2018";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"0,00";"0,00";"767.800,70";
"02/2018";"10 - Saúde";"126 - Tecnologia da informação";"41.269.511,89";"2.545.054,36";"919.199,67";"33.990.174,31";
"02/2018";"10 - Saúde";"131 - Comunicação social";"12.553.619,15";"2.021.640,92";"856.121,20";"8.577.007,25";
"02/2018";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"5.920.363,51";"5.414.799,93";"0,00";"7.764.924,37";
"02/2018";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"104.346,12";"185.429,00";"185.359,28";"471.771,28";
"02/2018";"10 - Saúde";"125 - Normatização e fiscalização";"3.005.215,73";"1.318.778,33";"1.318.778,33";"53.582,59";
"02/2018";"10 - Saúde";"512 - Saneamento básico urbano";"19.500,00";"0,00";"0,00";"11.119.790,22";
"02/2018";"10 - Saúde";"304 - Vigilância sanitária";"5.735.012,56";"1.967.788,51";"1.780.387,44";"1.040.304,90";
"02/2018";"10 - Saúde";"128 - Formação de recursos humanos";"134.599.011,17";"65.464.970,94";"65.421.882,76";"10.705.888,13";
"02/2018";"10 - Saúde";"305 - Vigilância epidemiológica";"392.380.944,20";"161.574.308,05";"160.884.553,21";"297.014.346,47";
"02/2018";"10 - Saúde";"511 - Saneamento básico rural";"626.892,00";"840.490,17";"396.817,40";"7.702.732,16";
"02/2018";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"5.230.436,02";"49.128.049,08";"48.795.488,89";"835.149,97";
"02/2018";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.553.816.095,01";"368.655.733,17";"338.838.096,84";"421.848.682,14";
"02/2018";"10 - Saúde";"423 - Assistência aos povos indígenas";"297.774.507,86";"30.192.142,05";"17.793.549,69";"30.064.508,14";
"02/2018";"10 - Saúde";"301 - Atenção básica";"2.034.618.715,39";"1.448.622.399,57";"1.447.923.207,91";"54.745.585,99";
"02/2018";"10 - Saúde";"122 - Administração geral";"188.439.867,05";"686.535.009,77";"682.835.437,92";"267.113.203,24";
"02/2018";"10 - Saúde";"571 - Desenvolvimento científico";"15.901.238,01";"12.069.133,46";"12.401.443,84";"21.422.104,05";
"02/2018";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"7.610.123.936,88";"4.110.104.667,09";"4.067.894.257,96";"324.250.553,14";
"03/2018";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"360.800,39";"1.067.953,44";"1.067.953,44";"1.800.582,33";
"03/2018";"10 - Saúde";"124 - Controle interno";"30.600,00";"7.615,26";"7.615,26";"1.007.500,00";
"03/2018";"10 - Saúde";"846 - Outros encargos especiais";"- 4.970.303,00";"103.867.915,22";"90.538.731,10";"0,00";
"03/2018";"10 - Saúde";"541 - Preservação e conservação ambiental";"9.000,00";"5.509,04";"5.509,04";"691.878,00";
"03/2018";"10 - Saúde";"306 - Alimentação e nutrição";"2.138.833,24";"0,00";"0,00";"715.593,76";
"03/2018";"10 - Saúde";"243 - Assistência à criança e ao adolescente";"0,00";"0,00";"0,00";"0,00";
"03/2018";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"24.667.866,64";"2.351.822,35";"2.157.631,25";"8.001.680,33";
"03/2018";"10 - Saúde";"125 - Normatização e fiscalização";"3.829.135,06";"1.129.969,68";"1.129.969,68";"106.113,08";
"03/2018";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"0,00";
"03/2018";"10 - Saúde";"131 - Comunicação social";"118.002.512,66";"12.820.004,69";"11.370.093,90";"15.050.356,55";
"03/2018";"10 - Saúde";"845 - Outras transferências";"1.000.000.000,00";"1.000.000.000,00";"1.000.000.000,00";"0,00";
"03/2018";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"623.422,79";"415.271,47";"557.274,67";"29.439,04";
"03/2018";"10 - Saúde";"512 - Saneamento básico urbano";"92.720.881,76";"12.626.238,02";"6.521.968,43";"22.622.179,84";
"03/2018";"10 - Saúde";"121 - Planejamento e orçamento";"8.167.097,54";"42.399,42";"51.543,52";"82.131,34";
"03/2018";"10 - Saúde";"128 - Formação de recursos humanos";"243.301.574,57";"73.515.601,98";"73.441.658,75";"6.666.251,48";
"03/2018";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.443.978.521,14";"1.087.165.712,54";"961.677.971,99";"426.502.248,07";
"03/2018";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"3.278.074,33";"1.532.316,04";"1.790.153,03";"53.562,21";
"03/2018";"10 - Saúde";"126 - Tecnologia da informação";"44.671.310,32";"12.072.441,15";"12.702.676,30";"22.938.110,56";
"03/2018";"10 - Saúde";"571 - Desenvolvimento científico";"30.059.359,63";"14.838.334,50";"11.113.824,84";"28.321.813,66";
"03/2018";"10 - Saúde";"511 - Saneamento básico rural";"7.350.948,43";"2.196.488,45";"1.048.703,20";"7.782.455,30";
"03/2018";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"6.355.321,28";"49.194.075,61";"48.948.629,73";"131.401,01";
"03/2018";"10 - Saúde";"304 - Vigilância sanitária";"4.197.850,31";"3.191.865,89";"3.296.459,29";"13.219.563,34";
"03/2018";"10 - Saúde";"423 - Assistência aos povos indígenas";"116.750.339,10";"262.888.464,69";"233.862.877,05";"40.016.425,07";
"03/2018";"10 - Saúde";"122 - Administração geral";"- 82.685.887,66";"720.725.270,16";"717.435.039,74";"295.836.285,39";
"03/2018";"10 - Saúde";"305 - Vigilância epidemiológica";"300.956.274,93";"230.350.379,33";"230.251.459,55";"251.748.635,90";
"03/2018";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.221.691.341,57";"4.018.793.826,27";"3.965.013.486,36";"875.287.665,49";
"03/2018";"10 - Saúde";"301 - Atenção básica";"2.279.059.899,77";"1.564.584.365,55";"1.565.272.800,36";"814.552.308,13";
"04/2018";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"0,00";
"04/2018";"10 - Saúde";"124 - Controle interno";"1.296.435,36";"7.323,61";"7.323,61";"7.500,00";
"04/2018";"10 - Saúde";"846 - Outros encargos especiais";"- 63.880.446,47";"103.435.803,14";"116.756.607,58";"0,00";
"04/2018";"10 - Saúde";"131 - Comunicação social";"1.108.288,87";"16.024.848,70";"14.768.728,23";"2.375.480,70";
"04/2018";"10 - Saúde";"306 - Alimentação e nutrição";"1.308.344,26";"184.967,82";"0,00";"42.860,00";
"04/2018";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"3.927.833,23";"362.216,49";"302.567,13";"823.033,35";
"04/2018";"10 - Saúde";"541 - Preservação e conservação ambiental";"129.000,00";"22.644,95";"22.644,95";"10.000,00";
"04/2018";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"771.304,65";"898.717,93";"319.862,17";"203.137,58";
"04/2018";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"3.501.881,33";"3.026.394,47";"2.650.521,86";"443.104,03";
"04/2018";"10 - Saúde";"128 - Formação de recursos humanos";"11.493.233,58";"93.970.395,44";"94.022.302,00";"8.189.814,11";
"04/2018";"10 - Saúde";"126 - Tecnologia da informação";"61.077.890,76";"23.423.195,85";"16.111.215,90";"17.063.633,26";
"04/2018";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"13.204.341,90";"4.786.359,96";"774.941,76";"7.773.456,77";
"04/2018";"10 - Saúde";"304 - Vigilância sanitária";"10.731.307,62";"8.720.344,25";"8.677.187,99";"10.434.216,51";
"04/2018";"10 - Saúde";"125 - Normatização e fiscalização";"2.321.945,68";"1.568.371,92";"1.568.371,92";"83.309,44";
"04/2018";"10 - Saúde";"511 - Saneamento básico rural";"28.774.093,53";"2.524.899,73";"2.923.550,71";"12.459.029,99";
"04/2018";"10 - Saúde";"121 - Planejamento e orçamento";"170.350,00";"133.404,30";"133.404,30";"3.355.414,29";
"04/2018";"10 - Saúde";"512 - Saneamento básico urbano";"77.897.239,54";"26.262.046,41";"30.087.476,75";"34.142.832,92";
"04/2018";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.379.059.427,58";"497.310.214,63";"426.576.961,56";"294.701.592,22";
"04/2018";"10 - Saúde";"305 - Vigilância epidemiológica";"1.189.933.237,91";"305.966.596,87";"166.989.609,27";"231.199.658,09";
"04/2018";"10 - Saúde";"571 - Desenvolvimento científico";"29.767.625,21";"21.946.956,55";"18.148.276,86";"9.855.397,40";
"04/2018";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"7.021.018,51";"49.620.479,44";"49.584.678,14";"75.205,07";
"04/2018";"10 - Saúde";"423 - Assistência aos povos indígenas";"68.129.050,95";"124.104.797,60";"121.632.280,18";"10.262.462,09";
"04/2018";"10 - Saúde";"301 - Atenção básica";"2.247.988.195,02";"1.512.181.686,45";"1.512.142.130,69";"79.500.190,53";
"04/2018";"10 - Saúde";"122 - Administração geral";"1.972.961.114,14";"716.787.279,23";"712.116.762,90";"13.796.677,24";
"04/2018";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.355.056.021,08";"4.136.364.615,45";"4.089.695.424,06";"109.451.396,54";
"05/2018";"10 - Saúde";"124 - Controle interno";"0,00";"243.299,12";"241.863,92";"45.613,58";
"05/2018";"10 - Saúde";"846 - Outros encargos especiais";"0,00";"103.077.939,27";"103.086.318,95";"0,00";
"05/2018";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"1.362.143,24";"1.970.115,29";"1.790.276,54";"43.501,36";
"05/2018";"10 - Saúde";"131 - Comunicação social";"1.562.150,44";"33.751.217,33";"19.329.116,40";"760.045,34";
"05/2018";"10 - Saúde";"121 - Planejamento e orçamento";"749.856,67";"241.246,49";"136.409,27";"866.384,20";
"05/2018";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"500.000,00";"2.268.805,38";"2.274.494,00";"101.950,00";
"05/2018";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"579.644,49";"757.228,92";"1.053.267,95";"4.064,66";
"05/2018";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"0,00";
"05/2018";"10 - Saúde";"125 - Normatização e fiscalização";"2.849.801,95";"1.835.320,80";"1.835.126,77";"9.300,12";
"05/2018";"10 - Saúde";"126 - Tecnologia da informação";"40.900.606,56";"38.555.183,12";"32.547.363,36";"5.594.399,51";
"05/2018";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"2.597.361,08";"930.819,67";"2.634.936,31";"4.814.623,41";
"05/2018";"10 - Saúde";"541 - Preservação e conservação ambiental";"11.000,00";"32.247,13";"32.247,13";"282.047,85";
"05/2018";"10 - Saúde";"511 - Saneamento básico rural";"13.340.754,51";"2.152.757,42";"1.443.308,98";"9.645.112,19";
"05/2018";"10 - Saúde";"306 - Alimentação e nutrição";"16.740.950,01";"1.689.780,86";"1.310.000,00";"8.006.235,00";
"05/2018";"10 - Saúde";"305 - Vigilância epidemiológica";"446.289.253,67";"1.114.371.140,67";"1.044.103.101,06";"205.208.421,93";
"05/2018";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.099.333.012,53";"983.427.133,37";"953.003.935,15";"251.430.723,62";
"05/2018";"10 - Saúde";"571 - Desenvolvimento científico";"25.020.203,46";"21.433.641,60";"18.908.589,58";"12.580.962,24";
"05/2018";"10 - Saúde";"512 - Saneamento básico urbano";"131.381.704,37";"32.063.763,14";"26.224.447,15";"27.684.405,58";
"05/2018";"10 - Saúde";"304 - Vigilância sanitária";"7.009.601,00";"3.943.194,97";"3.824.182,64";"2.641.437,56";
"05/2018";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"6.850.316,14";"49.701.574,96";"49.672.402,47";"22.805,59";
"05/2018";"10 - Saúde";"301 - Atenção básica";"1.564.639.165,31";"1.511.065.862,98";"1.510.032.866,73";"354.149.644,68";
"05/2018";"10 - Saúde";"423 - Assistência aos povos indígenas";"108.218.605,33";"109.435.572,72";"109.200.099,73";"4.814.132,47";
"05/2018";"10 - Saúde";"122 - Administração geral";"716.803.005,54";"728.370.810,96";"719.826.999,32";"233.647.199,34";
"05/2018";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.446.609.905,50";"4.209.823.143,68";"4.152.471.032,57";"656.788.133,51";
"05/2018";"10 - Saúde";"128 - Formação de recursos humanos";"7.009.623,70";"83.589.013,32";"83.172.089,71";"5.109.506,23";
"06/2018";"10 - Saúde";"124 - Controle interno";"2.000,00";"1.821,37";"1.642,30";"12.623,42";
"06/2018";"10 - Saúde";"846 - Outros encargos especiais";"27.147.840,32";"102.856.830,24";"102.856.830,24";"0,00";
"06/2018";"10 - Saúde";"131 - Comunicação social";"1.520.358,39";"25.088.437,22";"41.062.362,12";"3.652.262,17";
"06/2018";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"545.726,35";"605.523,16";"677.237,29";"8.317,59";
"06/2018";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"0,00";"1.110.780,08";"1.164.740,82";"112.400,00";
"06/2018";"10 - Saúde";"541 - Preservação e conservação ambiental";"2.000,00";"19.088,07";"19.088,07";"377.448,81";
"06/2018";"10 - Saúde";"306 - Alimentação e nutrição";"5.430.307,77";"2.937.447,08";"957.635,28";"66.690,00";
"06/2018";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"0,00";
"06/2018";"10 - Saúde";"121 - Planejamento e orçamento";"709.406,98";"214.529,32";"319.366,54";"1.195.149,65";
"06/2018";"10 - Saúde";"125 - Normatização e fiscalização";"2.233.385,90";"2.750.979,72";"2.749.386,15";"803.725,21";
"06/2018";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"17.107.415,29";"10.810.283,72";"8.354.158,61";"17.197.616,05";
"06/2018";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"4.847.614,17";"3.401.339,21";"3.094.911,48";"269.755,14";
"06/2018";"10 - Saúde";"511 - Saneamento básico rural";"8.021.381,55";"5.954.446,74";"4.737.388,61";"7.498.421,60";
"06/2018";"10 - Saúde";"128 - Formação de recursos humanos";"236.538.359,60";"81.807.452,46";"82.130.940,45";"987.576,35";
"06/2018";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"8.705.123,13";"49.409.396,17";"48.761.351,60";"0,00";
"06/2018";"10 - Saúde";"303 - Suporte profilático e terapêutico";"677.606.246,17";"987.183.443,59";"841.625.470,91";"30.159.338,05";
"06/2018";"10 - Saúde";"126 - Tecnologia da informação";"7.346.273,06";"40.726.876,22";"49.889.439,61";"8.782.635,44";
"06/2018";"10 - Saúde";"512 - Saneamento básico urbano";"145.292.938,66";"22.138.584,63";"23.829.255,02";"24.534.586,68";
"06/2018";"10 - Saúde";"304 - Vigilância sanitária";"132.500.451,47";"3.512.339,83";"3.628.889,98";"176.857,35";
"06/2018";"10 - Saúde";"571 - Desenvolvimento científico";"29.311.292,96";"22.702.981,88";"24.317.091,81";"3.300.093,68";
"06/2018";"10 - Saúde";"423 - Assistência aos povos indígenas";"43.123.822,96";"60.239.025,62";"65.706.494,14";"2.314.785,14";
"06/2018";"10 - Saúde";"305 - Vigilância epidemiológica";"371.243.858,93";"443.264.664,92";"371.560.334,26";"26.577.390,71";
"06/2018";"10 - Saúde";"301 - Atenção básica";"1.764.378.001,28";"1.919.393.273,65";"1.916.254.101,50";"75.011.583,74";
"06/2018";"10 - Saúde";"122 - Administração geral";"1.562.810.014,54";"3.384.641.026,69";"3.398.559.480,66";"28.202.989,56";
"06/2018";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.403.060.185,62";"4.324.575.092,79";"4.342.154.488,23";"104.716.395,99";
"07/2018";"10 - Saúde";"124 - Controle interno";"0,00";"3.491,75";"5.106,02";"9.737,60";
"07/2018";"10 - Saúde";"126 - Tecnologia da informação";"63.323.785,34";"20.899.890,98";"24.392.193,16";"6.438.902,63";
"07/2018";"10 - Saúde";"846 - Outros encargos especiais";"- 4.003,74";"101.926.257,11";"101.926.257,11";"21.309,95";
"07/2018";"10 - Saúde";"125 - Normatização e fiscalização";"4.262.083,51";"1.277.024,02";"1.269.137,94";"140.400,51";
"07/2018";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"1.215.540,95";"547.255,95";"682.554,94";"0,00";
"07/2018";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"2.426.496,17";"1.229.465,02";"1.973.183,20";"75.065,31";
"07/2018";"10 - Saúde";"541 - Preservação e conservação ambiental";"3.195.495,45";"900.726,65";"900.283,55";"129.748,77";
"07/2018";"10 - Saúde";"121 - Planejamento e orçamento";"52.240,59";"189.223,60";"108.779,43";"57.440,21";
"07/2018";"10 - Saúde";"131 - Comunicação social";"2.549.754,08";"19.218.033,02";"15.581.008,04";"372.400,88";
"07/2018";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"12.143.475,55";"5.962.358,62";"3.608.637,35";"5.690.904,83";
"07/2018";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"5.313.889,22";"48.205.213,06";"48.796.366,26";"79.008,13";
"07/2018";"10 - Saúde";"304 - Vigilância sanitária";"4.860.325,00";"4.958.286,50";"4.597.562,42";"12.832.418,26";
"07/2018";"10 - Saúde";"511 - Saneamento básico rural";"10.076.557,92";"3.103.505,59";"3.772.655,67";"21.722.882,28";
"07/2018";"10 - Saúde";"306 - Alimentação e nutrição";"1.690.948,85";"14.874.632,57";"15.546.936,53";"590.960,00";
"07/2018";"10 - Saúde";"512 - Saneamento básico urbano";"20.240.724,67";"10.974.517,91";"10.201.399,62";"46.672.718,28";
"07/2018";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"17.350.924,85";"632.845,00";"574.165,00";"856.069,29";
"07/2018";"10 - Saúde";"571 - Desenvolvimento científico";"53.363.304,74";"25.009.795,56";"24.289.091,27";"1.075.269,11";
"07/2018";"10 - Saúde";"301 - Atenção básica";"1.395.264.999,93";"1.708.197.487,10";"1.705.478.150,43";"150.374.146,48";
"07/2018";"10 - Saúde";"303 - Suporte profilático e terapêutico";"663.606.888,52";"813.046.406,87";"860.061.434,90";"91.970.573,04";
"07/2018";"10 - Saúde";"128 - Formação de recursos humanos";"23.901.115,90";"75.058.868,87";"71.622.977,10";"945.186,24";
"07/2018";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.816.477.822,28";"4.258.071.877,65";"4.241.899.420,27";"142.948.865,51";
"07/2018";"10 - Saúde";"423 - Assistência aos povos indígenas";"124.500.319,14";"61.963.454,57";"57.823.675,17";"2.447.494,52";
"07/2018";"10 - Saúde";"122 - Administração geral";"624.257.802,97";"1.672.919.433,65";"1.669.765.726,02";"31.310.255,28";
"07/2018";"10 - Saúde";"305 - Vigilância epidemiológica";"545.163.779,23";"362.979.155,73";"299.596.969,12";"142.104.935,11";
"08/2018";"10 - Saúde";"124 - Controle interno";"83.500,00";"38.951,88";"38.951,88";"10.273,70";
"08/2018";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"942.311,90";"760.170,95";"755.370,95";"2.009.030,61";
"08/2018";"10 - Saúde";"126 - Tecnologia da informação";"33.640.562,11";"28.559.004,86";"26.928.392,15";"3.329.885,20";
"08/2018";"10 - Saúde";"121 - Planejamento e orçamento";"5.816.898,82";"130.347,74";"208.355,91";"235.279,61";
"08/2018";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"550.106,21";"1.178.178,67";"656.971,29";"1.140,00";
"08/2018";"10 - Saúde";"846 - Outros encargos especiais";"0,00";"100.987.735,90";"100.987.735,90";"0,00";
"08/2018";"10 - Saúde";"131 - Comunicação social";"941.472,63";"18.051.998,42";"22.732.444,26";"603.334,31";
"08/2018";"10 - Saúde";"125 - Normatização e fiscalização";"690.459,21";"1.488.685,34";"1.498.016,18";"49.358,17";
"08/2018";"10 - Saúde";"306 - Alimentação e nutrição";"- 228.465,16";"- 275.411,82";"50.799,92";"60.560,00";
"08/2018";"10 - Saúde";"541 - Preservação e conservação ambiental";"- 2.296.000,00";"5.412,56";"5.855,66";"2.810,00";
"08/2018";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"5.897.257,56";"49.166.877,39";"48.571.679,50";"0,00";
"08/2018";"10 - Saúde";"301 - Atenção básica";"1.443.866.474,91";"1.509.780.886,95";"1.499.831.896,55";"6.274.032,91";
"08/2018";"10 - Saúde";"512 - Saneamento básico urbano";"45.204.532,42";"22.713.580,89";"25.532.978,97";"25.221.347,09";
"08/2018";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"29.677.993,50";"7.027.482,72";"4.936.977,07";"24.704.963,72";
"08/2018";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"4.233.221,38";"3.446.045,87";"2.565.931,71";"16.697,94";
"08/2018";"10 - Saúde";"511 - Saneamento básico rural";"3.368.880,86";"4.158.441,42";"3.539.083,46";"9.913.327,73";
"08/2018";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.022.804.909,83";"1.279.763.375,77";"1.334.335.709,05";"89.649.877,59";
"08/2018";"10 - Saúde";"128 - Formação de recursos humanos";"7.919.066,88";"101.008.782,89";"101.152.911,76";"2.607.803,06";
"08/2018";"10 - Saúde";"571 - Desenvolvimento científico";"72.862.494,50";"45.304.793,37";"47.558.002,02";"6.058.631,66";
"08/2018";"10 - Saúde";"423 - Assistência aos povos indígenas";"116.219.658,62";"64.433.015,01";"68.682.836,61";"10.289.029,12";
"08/2018";"10 - Saúde";"122 - Administração geral";"242.336.890,40";"714.814.235,86";"703.838.907,26";"2.681.122,25";
"08/2018";"10 - Saúde";"305 - Vigilância epidemiológica";"1.164.169.719,99";"931.868.513,52";"873.798.568,00";"92.801.862,00";
"08/2018";"10 - Saúde";"304 - Vigilância sanitária";"25.262.805,67";"132.584.046,76";"132.239.075,08";"8.839.184,98";
"08/2018";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.527.021.295,09";"4.267.194.010,81";"4.254.874.376,62";"44.577.027,79";
"09/2018";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"0,00";
"09/2018";"10 - Saúde";"131 - Comunicação social";"36.073.643,61";"4.257.461,75";"3.715.103,57";"- 635.609,95";
"09/2018";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"7.750.210,00";"19.604,55";"5.204,55";"1.650.313,72";
"09/2018";"10 - Saúde";"124 - Controle interno";"0,00";"453.617,68";"10.168,79";"8.950,59";
"09/2018";"10 - Saúde";"846 - Outros encargos especiais";"0,00";"101.129.987,40";"101.128.481,52";"0,00";
"09/2018";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"1.195.732,36";"655.458,61";"674.121,94";"0,00";
"09/2018";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"1.352.637,65";"1.808.179,32";"2.433.018,94";"12.777,31";
"09/2018";"10 - Saúde";"541 - Preservação e conservação ambiental";"55.437,07";"17.006,34";"16.782,48";"662,40";
"09/2018";"10 - Saúde";"126 - Tecnologia da informação";"15.888.983,66";"32.171.469,82";"33.994.099,41";"1.778.961,63";
"09/2018";"10 - Saúde";"306 - Alimentação e nutrição";"- 1.228.831,57";"- 229.559,40";"715.085,38";"53.720,00";
"09/2018";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"3.492.897,78";"2.257.537,11";"3.451.394,35";"3.896.841,41";
