"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"05/2020";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"899.999,95";"2.107.965,14";"2.107.965,14";"43.529,49";
"05/2020";"10 - Saúde";"541 - Preservação e conservação ambiental";"1.813.000,00";"0,00";"0,00";"504.419,58";
"05/2020";"10 - Saúde";"304 - Vigilância sanitária";"3.170.976,68";"2.014.305,79";"1.725.561,13";"150.231,04";
"05/2020";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"- 2.141.116,04";"868.333,53";"2.543.563,25";"9.473.454,18";
"05/2020";"10 - Saúde";"131 - Comunicação social";"1.616.136,37";"32.162.388,12";"29.705.653,34";"6.655.483,66";
"05/2020";"10 - Saúde";"306 - Alimentação e nutrição";"20.566.291,60";"10.666.291,60";"10.666.291,60";"288.690,96";
"05/2020";"10 - Saúde";"511 - Saneamento básico rural";"9.291.845,54";"1.070.398,16";"1.024.652,91";"14.183.913,96";
"05/2020";"10 - Saúde";"305 - Vigilância epidemiológica";"838.578.942,20";"694.516.354,50";"629.362.454,69";"178.963.822,63";
"05/2020";"10 - Saúde";"512 - Saneamento básico urbano";"28.947.628,62";"2.637.128,11";"2.670.923,24";"57.211.269,94";
"05/2020";"10 - Saúde";"122 - Administração geral";"2.650.277.461,96";"4.167.350.014,52";"3.970.445.137,18";"3.922.954,31";
"05/2020";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"4.841.107,46";"1.678.822,06";"1.128.720,92";"22.206,76";
"05/2020";"10 - Saúde";"423 - Assistência aos povos indígenas";"17.867.631,05";"54.859.341,65";"51.558.499,11";"3.137.454,04";
"05/2020";"10 - Saúde";"301 - Atenção básica";"1.764.702.116,92";"2.065.538.005,88";"1.993.080.340,01";"46.019.708,08";
"05/2020";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.233.607.136,31";"1.106.798.941,83";"1.042.346.865,62";"207.400.586,63";
"05/2020";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"5.573.793.861,27";"4.727.552.465,52";"4.711.727.432,62";"135.948.356,96";
"05/2020";"10 - Saúde";"571 - Desenvolvimento científico";"59.221.171,42";"23.463.002,45";"28.785.179,71";"10.689.976,77";
"05/2020";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"7.393.134,95";"40.517.363,29";"41.358.664,31";"0,00";
"05/2020";"10 - Saúde";"128 - Formação de recursos humanos";"56.900.482,40";"133.226.374,94";"115.705.527,21";"1.315.905,98";
"06/2020";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"0,00";"1.056.386,31";"278.314,14";"1.400.000,00";
"06/2020";"10 - Saúde";"541 - Preservação e conservação ambiental";"15.000,00";"0,00";"0,00";"296.493,11";
"06/2020";"10 - Saúde";"124 - Controle interno";"0,00";"10.010,31";"10.010,31";"0,00";
"06/2020";"10 - Saúde";"121 - Planejamento e orçamento";"0,00";"3.855,60";"1.003.855,60";"129.573,48";
"06/2020";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"6.324.469,05";"826.630,60";"315.811,04";"7.341.711,97";
"06/2020";"10 - Saúde";"364 - Ensino superior";"0,00";"0,00";"0,00";"0,00";
"06/2020";"10 - Saúde";"125 - Normatização e fiscalização";"1.362.210,43";"1.201.388,33";"1.205.823,53";"101.226,16";
"06/2020";"10 - Saúde";"846 - Outros encargos especiais";"12.000.000,00";"87.746.033,22";"87.746.033,22";"0,00";
"06/2020";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"236.632,13";"761.249,11";"1.534.615,54";"1.582,56";
"06/2020";"10 - Saúde";"131 - Comunicação social";"30.597.826,79";"29.071.273,95";"24.477.048,78";"2.405.366,54";
"06/2020";"10 - Saúde";"512 - Saneamento básico urbano";"15.718.677,53";"3.710.348,40";"1.899.524,51";"20.039.713,89";
"06/2020";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"799.076,95";"2.965.295,65";"3.339.352,59";"4.040,00";
"06/2020";"10 - Saúde";"511 - Saneamento básico rural";"5.701.568,47";"3.343.715,96";"2.631.024,07";"11.785.165,81";
"06/2020";"10 - Saúde";"128 - Formação de recursos humanos";"281.352.702,50";"109.535.545,98";"106.094.794,27";"1.168.530,56";
"06/2020";"10 - Saúde";"571 - Desenvolvimento científico";"48.694.613,44";"54.984.751,16";"46.689.768,46";"10.065.202,36";
"06/2020";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"17.555.000,00";"17.555.000,00";"242.898,00";
"06/2020";"10 - Saúde";"126 - Tecnologia da informação";"18.263.415,22";"24.075.303,61";"19.346.907,48";"1.330.918,19";
"06/2020";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"25.405.429,74";"40.711.577,89";"40.565.803,51";"345,12";
"06/2020";"10 - Saúde";"304 - Vigilância sanitária";"126.625.434,63";"3.102.418,41";"3.463.581,70";"205.597,39";
"06/2020";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.389.125.866,82";"845.584.341,34";"945.269.306,46";"116.299.222,88";
"06/2020";"10 - Saúde";"301 - Atenção básica";"712.525.225,59";"2.228.933.043,14";"2.285.913.057,55";"44.035.477,35";
"06/2020";"10 - Saúde";"305 - Vigilância epidemiológica";"281.001.564,61";"642.515.607,05";"717.047.344,58";"81.492.706,37";
"06/2020";"10 - Saúde";"122 - Administração geral";"2.699.845.936,03";"3.493.161.759,16";"3.497.774.453,25";"2.311.652,33";
"06/2020";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.450.973.940,39";"5.113.537.127,42";"5.110.434.994,40";"98.516.071,95";
"06/2020";"10 - Saúde";"423 - Assistência aos povos indígenas";"162.075.791,47";"190.931.708,30";"195.027.855,84";"2.422.424,12";
"07/2020";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"1.083.996,43";"914.211,82";"1.692.283,99";"531.412,00";
"07/2020";"10 - Saúde";"306 - Alimentação e nutrição";"2.666.089,88";"28.372,49";"28.372,49";"231.248,00";
"07/2020";"10 - Saúde";"124 - Controle interno";"2.500.000,00";"10.382,69";"10.382,69";"3.111,65";
"07/2020";"10 - Saúde";"121 - Planejamento e orçamento";"51.870,00";"2.490,50";"2.490,50";"1.340.296,20";
"07/2020";"10 - Saúde";"846 - Outros encargos especiais";"28.648.284,00";"93.259.961,91";"93.259.961,91";"0,00";
"07/2020";"10 - Saúde";"541 - Preservação e conservação ambiental";"59.000,00";"0,00";"0,00";"707.892,96";
"07/2020";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"56.262,09";"886.836,28";"456.020,19";"12.578,48";
"07/2020";"10 - Saúde";"131 - Comunicação social";"18.103.337,30";"18.773.657,01";"22.697.443,28";"1.402.854,37";
"07/2020";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"19.566.760,56";"19.410.859,87";"5.462.619,99";"1.546.804,45";
"07/2020";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"2.870.628,34";"2.781.248,82";"2.336.198,49";"22.318,30";
"07/2020";"10 - Saúde";"125 - Normatização e fiscalização";"1.371.966,30";"1.051.295,65";"1.051.295,65";"33.600,00";
"07/2020";"10 - Saúde";"128 - Formação de recursos humanos";"5.720.758,62";"103.036.522,83";"101.269.791,45";"2.658.881,08";
"07/2020";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"7.795.893,24";"40.365.437,53";"41.082.647,53";"0,00";
"07/2020";"10 - Saúde";"304 - Vigilância sanitária";"70.812.588,76";"122.635.140,20";"122.344.410,47";"429.177,26";
"07/2020";"10 - Saúde";"512 - Saneamento básico urbano";"12.701,00";"9.652.797,41";"9.652.514,85";"32.338.426,28";
"07/2020";"10 - Saúde";"423 - Assistência aos povos indígenas";"254.812.024,12";"49.456.116,89";"48.781.278,07";"10.713.791,64";
"07/2020";"10 - Saúde";"126 - Tecnologia da informação";"39.421.413,44";"16.679.390,57";"16.404.091,75";"1.126.479,65";
"07/2020";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.133.464.741,55";"1.145.590.871,15";"1.074.127.550,93";"31.998.558,65";
"07/2020";"10 - Saúde";"301 - Atenção básica";"3.906.065.973,51";"1.901.969.579,91";"1.919.508.571,21";"33.359.644,92";
"07/2020";"10 - Saúde";"305 - Vigilância epidemiológica";"840.416.403,89";"290.733.192,59";"365.857.219,90";"135.806.068,51";
"07/2020";"10 - Saúde";"571 - Desenvolvimento científico";"75.861.562,03";"55.298.466,94";"44.443.241,45";"7.205.109,46";
"07/2020";"10 - Saúde";"511 - Saneamento básico rural";"1.386.676,00";"3.362.805,91";"3.168.545,23";"12.042.710,50";
"07/2020";"10 - Saúde";"122 - Administração geral";"15.322.069.109,70";"7.670.041.440,97";"7.715.351.551,58";"2.579.318,66";
"07/2020";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.481.359.819,65";"4.395.063.018,18";"4.412.549.320,91";"68.119.255,82";
"08/2020";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"437.763,34";"889.693,57";"889.693,57";"0,00";
"08/2020";"10 - Saúde";"121 - Planejamento e orçamento";"0,00";"810.487,02";"4.887,02";"700.000,00";
"08/2020";"10 - Saúde";"306 - Alimentação e nutrição";"2.312.105,97";"2.645.499,89";"2.645.499,89";"354.164,00";
"08/2020";"10 - Saúde";"131 - Comunicação social";"1.074.149,00";"14.820.851,32";"17.469.649,43";"894.460,42";
"08/2020";"10 - Saúde";"304 - Vigilância sanitária";"49.628.368,57";"1.348.138,01";"1.538.949,14";"357.755,22";
"08/2020";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"1.091.037,82";"327.845,30";"776.555,37";"6.000,00";
"08/2020";"10 - Saúde";"846 - Outros encargos especiais";"11.004.299,19";"89.832.690,13";"89.832.690,13";"0,00";
"08/2020";"10 - Saúde";"124 - Controle interno";"0,00";"600.073,38";"285.073,38";"0,00";
"08/2020";"10 - Saúde";"512 - Saneamento básico urbano";"5.000,00";"755.033,29";"23.786,76";"22.515.868,67";
"08/2020";"10 - Saúde";"125 - Normatização e fiscalização";"1.592.390,31";"1.351.691,18";"1.328.026,51";"20.589,56";
"08/2020";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"6.882.119,01";"4.183.936,89";"5.276.180,35";"26.544,26";
"08/2020";"10 - Saúde";"126 - Tecnologia da informação";"5.601.670,84";"17.658.929,79";"21.072.040,90";"434.833,67";
"08/2020";"10 - Saúde";"541 - Preservação e conservação ambiental";"- 1.000,00";"652,96";"0,00";"2.577.230,79";
"08/2020";"10 - Saúde";"128 - Formação de recursos humanos";"22.928.547,26";"100.050.058,54";"115.153.025,46";"7.551.714,01";
"08/2020";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"7.980.071,98";"40.659.640,29";"40.350.089,05";"0,00";
"08/2020";"10 - Saúde";"511 - Saneamento básico rural";"2.575.830,06";"2.805.614,84";"2.075.105,70";"16.559.323,38";
"08/2020";"10 - Saúde";"301 - Atenção básica";"1.822.336.146,40";"1.878.473.960,10";"1.966.959.091,48";"26.345.851,74";
"08/2020";"10 - Saúde";"303 - Suporte profilático e terapêutico";"545.333.716,16";"765.973.301,43";"657.777.937,53";"94.173.756,12";
"08/2020";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"5.606.469,12";"2.689.646,18";"15.810.928,31";"5.234.068,56";
"08/2020";"10 - Saúde";"571 - Desenvolvimento científico";"59.600.957,77";"52.112.790,88";"27.073.674,29";"9.214.741,82";
"08/2020";"10 - Saúde";"305 - Vigilância epidemiológica";"147.567.145,78";"267.786.365,12";"276.569.775,17";"60.147.147,34";
"08/2020";"10 - Saúde";"122 - Administração geral";"2.783.745.401,15";"10.307.978.759,28";"10.338.665.660,03";"2.862.137,71";
"08/2020";"10 - Saúde";"423 - Assistência aos povos indígenas";"25.140.596,34";"192.987.360,44";"190.832.563,47";"1.524.782,72";
"08/2020";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.632.774.770,32";"4.679.491.743,42";"4.648.382.498,77";"345.161.247,03";
"09/2020";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"1.238.481,09";"869.277,36";"87.525,28";"0,00";
"09/2020";"10 - Saúde";"306 - Alimentação e nutrição";"67.386,09";"67.386,09";"67.386,09";"2.240.670,06";
"09/2020";"10 - Saúde";"124 - Controle interno";"0,00";"8.562,21";"8.562,21";"551,98";
"09/2020";"10 - Saúde";"541 - Preservação e conservação ambiental";"5.390,00";"56.976,10";"2.629,06";"40.938,10";
"09/2020";"10 - Saúde";"121 - Planejamento e orçamento";"8.944.880,00";"3.753.824,14";"806.244,14";"75.766,00";
"09/2020";"10 - Saúde";"846 - Outros encargos especiais";"0,00";"89.927.106,73";"89.927.099,94";"0,00";
"09/2020";"10 - Saúde";"511 - Saneamento básico rural";"2.250.207,13";"3.229.985,22";"2.624.544,28";"9.978.387,02";
"09/2020";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"389.228,36";"1.825.225,60";"1.873.812,96";"48.079,14";
"09/2020";"10 - Saúde";"131 - Comunicação social";"49.199.361,48";"10.882.376,98";"10.654.738,24";"721.257,85";
"09/2020";"10 - Saúde";"126 - Tecnologia da informação";"21.066.042,33";"14.743.179,29";"15.622.858,51";"1.380.080,00";
"09/2020";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"10.404.828,36";"5.970.128,38";"4.542.968,91";"5.543.623,66";
"09/2020";"10 - Saúde";"512 - Saneamento básico urbano";"2.565,40";"4.527.555,67";"996.410,23";"16.879.563,65";
"09/2020";"10 - Saúde";"125 - Normatização e fiscalização";"398.361,22";"764.255,29";"761.608,83";"0,00";
"09/2020";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"6.073.718,24";"40.506.728,08";"40.892.610,12";"0,00";
"09/2020";"10 - Saúde";"128 - Formação de recursos humanos";"117.742.059,16";"124.834.433,10";"123.914.837,30";"372.838,39";
"09/2020";"10 - Saúde";"571 - Desenvolvimento científico";"54.116.518,43";"47.189.278,03";"61.704.736,33";"5.309.027,10";
"09/2020";"10 - Saúde";"303 - Suporte profilático e terapêutico";"598.094.203,87";"1.336.885.928,27";"1.058.296.370,98";"43.374.821,65";
