"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"05/2022";"10 - Saúde";"124 - Controle interno";"0,00";"4.217,08";"4.217,08";"1.806.545,00";
"05/2022";"10 - Saúde";"121 - Planejamento e orçamento";"9.352.759,86";"58.040,74";"57.067,75";"0,00";
"05/2022";"10 - Saúde";"131 - Comunicação social";"0,00";"1.035.087,58";"1.125.518,84";"7.995.014,54";
"05/2022";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"2.502.640,74";"193.754,19";"919.967,45";"393.474,00";
"05/2022";"10 - Saúde";"541 - Preservação e conservação ambiental";"0,00";"17.792,45";"17.792,45";"277.300,00";
"05/2022";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"13.828.885,87";"10.190.044,18";"2.739.136,77";"26.124.647,62";
"05/2022";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"5.849.329,13";"4.716.193,30";"3.188.264,34";"1.985.942,60";
"05/2022";"10 - Saúde";"126 - Tecnologia da informação";"13.197.416,12";"20.956.840,40";"22.525.195,57";"6.017.685,10";
"05/2022";"10 - Saúde";"512 - Saneamento básico urbano";"6.672.489,72";"5.856.673,53";"5.860.115,67";"16.961.729,20";
"05/2022";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"386.810,75";"1.081.953,18";"2.271.928,55";"67.172,35";
"05/2022";"10 - Saúde";"304 - Vigilância sanitária";"9.930.373,35";"26.132.286,21";"23.379.504,80";"242.080,97";
"05/2022";"10 - Saúde";"306 - Alimentação e nutrição";"2.402.592,82";"25.528,82";"25.528,82";"8.345.996,09";
"05/2022";"10 - Saúde";"128 - Formação de recursos humanos";"41.888.467,53";"135.690.284,85";"131.824.596,74";"24.056.188,56";
"05/2022";"10 - Saúde";"125 - Normatização e fiscalização";"1.943.637,95";"1.523.221,81";"1.525.844,41";"73.293,28";
"05/2022";"10 - Saúde";"423 - Assistência aos povos indígenas";"55.315.099,01";"189.522.982,97";"187.096.193,74";"3.322.633,42";
"05/2022";"10 - Saúde";"301 - Atenção básica";"2.859.599.326,89";"2.103.350.215,45";"2.120.727.604,75";"159.759.435,49";
"05/2022";"10 - Saúde";"305 - Vigilância epidemiológica";"1.147.048.887,03";"1.979.850.169,85";"1.895.291.905,74";"673.669.492,26";
"05/2022";"10 - Saúde";"571 - Desenvolvimento científico";"103.110.805,23";"39.624.910,61";"32.778.088,21";"15.713.157,22";
"05/2022";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.697.430.523,53";"1.638.179.775,30";"1.632.352.385,97";"311.017.277,46";
"05/2022";"10 - Saúde";"511 - Saneamento básico rural";"7.061.766,13";"4.209.383,47";"3.613.838,61";"10.509.471,57";
"05/2022";"10 - Saúde";"122 - Administração geral";"61.599.588,93";"592.972.583,71";"601.338.533,48";"13.158.726,14";
"05/2022";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"5.405.256.519,08";"4.905.161.107,19";"4.872.065.152,74";"226.526.325,01";
"06/2022";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"0,00";"1.703.029,68";"989.850,58";"0,00";
"06/2022";"10 - Saúde";"124 - Controle interno";"4.729.000,00";"5.859.800,47";"2.005.800,47";"0,00";
"06/2022";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"0,00";"0,00";"228.597,50";
"06/2022";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"55.189.492,84";"18.708.463,26";"15.632.705,71";"15.813.777,99";
"06/2022";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"328.833,69";"1.330.476,39";"1.556.768,10";"2.591,28";
"06/2022";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"3.510.846,26";"4.042.340,95";"8.259.296,95";"2.322.816,42";
"06/2022";"10 - Saúde";"131 - Comunicação social";"0,00";"2.477.199,04";"2.239.781,76";"8.374.284,47";
"06/2022";"10 - Saúde";"121 - Planejamento e orçamento";"2.199.630,15";"9.902.706,69";"88.718,12";"1.003.024,00";
"06/2022";"10 - Saúde";"541 - Preservação e conservação ambiental";"8.557.679,89";"10.477,90";"10.477,90";"1.645.666,25";
"06/2022";"10 - Saúde";"126 - Tecnologia da informação";"27.124.306,12";"26.054.872,24";"16.738.521,81";"3.524.933,94";
"06/2022";"10 - Saúde";"846 - Outros encargos especiais";"0,00";"81.404.939,04";"81.404.939,04";"0,00";
"06/2022";"10 - Saúde";"128 - Formação de recursos humanos";"225.826.452,71";"140.939.707,19";"134.531.603,13";"26.113.289,83";
"06/2022";"10 - Saúde";"511 - Saneamento básico rural";"58.535.626,08";"4.366.352,80";"4.407.199,54";"23.126.054,66";
"06/2022";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.418.287.052,74";"1.091.598.198,41";"1.103.289.540,70";"154.953.765,91";
"06/2022";"10 - Saúde";"304 - Vigilância sanitária";"3.502.681,05";"24.421.776,27";"26.296.508,28";"221.880,25";
"06/2022";"10 - Saúde";"512 - Saneamento básico urbano";"122.144.006,67";"3.026.086,88";"3.028.288,42";"44.010.775,91";
"06/2022";"10 - Saúde";"125 - Normatização e fiscalização";"485.415,56";"974.095,59";"976.666,99";"0,00";
"06/2022";"10 - Saúde";"305 - Vigilância epidemiológica";"742.123.574,21";"808.296.334,07";"840.889.712,59";"379.803.599,84";
"06/2022";"10 - Saúde";"423 - Assistência aos povos indígenas";"24.810.982,93";"133.420.395,75";"132.377.657,92";"5.080.404,11";
"06/2022";"10 - Saúde";"122 - Administração geral";"228.527.087,58";"740.695.558,34";"604.757.421,95";"8.964.752,10";
"06/2022";"10 - Saúde";"571 - Desenvolvimento científico";"45.279.338,07";"60.221.810,13";"33.629.725,99";"15.765.246,72";
"06/2022";"10 - Saúde";"301 - Atenção básica";"6.111.183.651,97";"9.885.505.586,52";"9.588.788.561,33";"48.353.973,62";
"06/2022";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"7.408.767.049,00";"9.966.084.871,18";"9.794.322.486,19";"217.788.034,23";
"07/2022";"10 - Saúde";"124 - Controle interno";"30.000,00";"2.004,56";"2.004,56";"0,00";
"07/2022";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"2.523.945,57";"771.154,50";"798.551,15";"721.601,12";
"07/2022";"10 - Saúde";"846 - Outros encargos especiais";"0,00";"80.684.916,34";"80.684.916,34";"0,00";
"07/2022";"10 - Saúde";"306 - Alimentação e nutrição";"0,00";"3.657.064,00";"2.377.064,00";"234.290,50";
"07/2022";"10 - Saúde";"541 - Preservação e conservação ambiental";"- 38.991,84";"33.732,94";"32.353,36";"93.219,58";
"07/2022";"10 - Saúde";"121 - Planejamento e orçamento";"149.352,85";"1.203.544,37";"11.019.175,22";"954.839,50";
"07/2022";"10 - Saúde";"126 - Tecnologia da informação";"20.660.910,10";"18.508.382,75";"31.863.125,07";"8.778.351,20";
"07/2022";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"52.677.494,49";"17.171.582,88";"24.374.497,99";"24.009.058,19";
"07/2022";"10 - Saúde";"128 - Formação de recursos humanos";"48.092.526,22";"159.153.983,19";"153.249.587,36";"2.754.375,83";
"07/2022";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"581.880,65";"3.377.542,43";"2.700.353,51";"99.094,31";
"07/2022";"10 - Saúde";"131 - Comunicação social";"57.013.156,03";"19.074.280,05";"8.039.830,54";"10.369.189,69";
"07/2022";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"131.920,91";"673.562,83";"420.088,69";"11.500,00";
"07/2022";"10 - Saúde";"511 - Saneamento básico rural";"79.789.359,24";"10.965.930,35";"9.932.579,67";"27.550.813,93";
"07/2022";"10 - Saúde";"512 - Saneamento básico urbano";"21.909.153,59";"524.187,12";"519.999,60";"18.137.448,60";
"07/2022";"10 - Saúde";"125 - Normatização e fiscalização";"7.002.230,96";"2.270.516,42";"1.190.516,42";"250.000,00";
"07/2022";"10 - Saúde";"571 - Desenvolvimento científico";"93.823.046,57";"79.681.672,29";"65.031.801,51";"13.744.956,11";
"07/2022";"10 - Saúde";"304 - Vigilância sanitária";"124.475.455,15";"3.616.014,25";"3.955.638,64";"81.488,79";
"07/2022";"10 - Saúde";"303 - Suporte profilático e terapêutico";"799.933.497,72";"1.045.188.185,48";"1.159.492.132,96";"104.101.732,43";
"07/2022";"10 - Saúde";"423 - Assistência aos povos indígenas";"248.369.824,49";"181.360.257,12";"161.802.243,74";"532.944,83";
"07/2022";"10 - Saúde";"305 - Vigilância epidemiológica";"687.409.115,74";"1.117.292.807,40";"1.186.831.015,32";"75.722.110,14";
"07/2022";"10 - Saúde";"301 - Atenção básica";"2.597.178.038,01";"2.796.630.895,60";"3.098.561.299,90";"42.819.005,95";
"07/2022";"10 - Saúde";"122 - Administração geral";"284.277.441,23";"598.414.032,81";"743.765.849,90";"25.219.519,56";
"07/2022";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"5.304.741.657,79";"5.111.060.153,07";"5.272.266.463,87";"127.713.092,73";
"08/2022";"10 - Saúde";"124 - Controle interno";"0,00";"4.163,38";"3.858.163,38";"0,00";
"08/2022";"10 - Saúde";"306 - Alimentação e nutrição";"1.900.000,00";"0,00";"1.051.881,00";"662.595,00";
"08/2022";"10 - Saúde";"131 - Comunicação social";"55.840.511,00";"12.598.391,65";"22.107.433,58";"5.285.842,57";
"08/2022";"10 - Saúde";"121 - Planejamento e orçamento";"0,00";"70.259,98";"66.587,64";"953.000,00";
"08/2022";"10 - Saúde";"846 - Outros encargos especiais";"11.000.000,00";"80.471.137,10";"80.471.137,10";"0,00";
"08/2022";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"450.000,00";"869.202,90";"1.640.357,40";"1.203.265,00";
"08/2022";"10 - Saúde";"126 - Tecnologia da informação";"23.089.258,49";"16.516.047,62";"16.934.557,35";"3.542.522,47";
"08/2022";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"26.392,71";"276.465,33";"803.415,66";"50,00";
"08/2022";"10 - Saúde";"304 - Vigilância sanitária";"6.700.405,92";"4.598.098,66";"3.910.431,39";"45.731,34";
"08/2022";"10 - Saúde";"512 - Saneamento básico urbano";"37.241.505,39";"5.130.919,19";"5.114.882,03";"10.093.111,42";
"08/2022";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"27.066.029,42";"25.421.342,45";"22.260.200,95";"6.612.287,69";
"08/2022";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"4.092.687,73";"3.037.882,08";"2.528.018,63";"48.441,83";
"08/2022";"10 - Saúde";"541 - Preservação e conservação ambiental";"60.000,00";"39.140,25";"37.418,13";"15.061,00";
"08/2022";"10 - Saúde";"301 - Atenção básica";"1.973.789.514,98";"2.110.568.025,06";"2.119.744.072,91";"13.470.180,84";
"08/2022";"10 - Saúde";"125 - Normatização e fiscalização";"1.411.701,72";"2.621.625,94";"1.284.308,24";"0,00";
"08/2022";"10 - Saúde";"511 - Saneamento básico rural";"12.701.683,09";"6.920.418,80";"6.476.992,62";"21.298.166,69";
"08/2022";"10 - Saúde";"571 - Desenvolvimento científico";"85.065.226,56";"66.333.918,73";"59.570.599,50";"10.721.754,34";
"08/2022";"10 - Saúde";"305 - Vigilância epidemiológica";"785.633.844,71";"1.045.985.204,01";"1.041.554.383,16";"93.641.795,72";
"08/2022";"10 - Saúde";"122 - Administração geral";"195.240.839,77";"601.992.311,30";"591.289.135,34";"9.146.396,25";
"08/2022";"10 - Saúde";"423 - Assistência aos povos indígenas";"36.987.211,60";"90.108.821,57";"92.809.853,61";"2.846.263,66";
"08/2022";"10 - Saúde";"128 - Formação de recursos humanos";"265.126.851,26";"136.682.472,43";"132.680.439,70";"31.982.765,33";
"08/2022";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.608.472.320,02";"1.851.625.789,55";"1.673.093.810,32";"109.758.087,54";
"08/2022";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"4.690.985.670,04";"4.869.579.778,15";"4.857.989.045,92";"40.357.631,04";
"09/2022";"10 - Saúde";"124 - Controle interno";"0,00";"18.554,07";"18.554,07";"0,00";
"09/2022";"10 - Saúde";"846 - Outros encargos especiais";"15.315.146,92";"80.009.210,64";"80.009.210,64";"0,00";
"09/2022";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"13.608.256,02";"782.223,27";"80.685,40";"0,00";
"09/2022";"10 - Saúde";"541 - Preservação e conservação ambiental";"48.000,00";"41.755,40";"44.857,10";"0,00";
"09/2022";"10 - Saúde";"131 - Comunicação social";"10.148.610,60";"33.342.340,20";"23.381.032,44";"4.490.609,46";
"09/2022";"10 - Saúde";"121 - Planejamento e orçamento";"2.282.934,14";"47.315,16";"47.315,16";"0,00";
"09/2022";"10 - Saúde";"306 - Alimentação e nutrição";"200.910,00";"1.900.000,00";"0,00";"250.032,50";
"09/2022";"10 - Saúde";"391 - Patrimônio histórico, artístico e arqueológico";"231.685,50";"312.559,68";"76.600,37";"30.512,00";
"09/2022";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"13.113.205,03";"1.676.188,10";"2.266.274,39";"12.328,89";
"09/2022";"10 - Saúde";"126 - Tecnologia da informação";"2.825.062,70";"16.021.872,06";"14.530.309,89";"1.229.896,08";
"09/2022";"10 - Saúde";"125 - Normatização e fiscalização";"1.295.333,36";"1.304.887,04";"1.308.494,97";"375.000,00";
"09/2022";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"83.549.650,74";"57.710.045,89";"33.635.715,49";"15.114.654,52";
"09/2022";"10 - Saúde";"511 - Saneamento básico rural";"2.550.320,22";"7.710.829,50";"6.352.002,97";"22.367.267,01";
"09/2022";"10 - Saúde";"304 - Vigilância sanitária";"2.951.248,99";"64.354.640,97";"65.212.163,83";"11.950,80";
"09/2022";"10 - Saúde";"512 - Saneamento básico urbano";"6.339.523,06";"988.616,59";"1.007.727,75";"10.439.450,33";
"09/2022";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.165.661.057,81";"990.177.335,82";"768.385.872,65";"30.414.444,32";
"09/2022";"10 - Saúde";"305 - Vigilância epidemiológica";"722.722.855,78";"1.018.847.278,88";"956.143.606,95";"59.601.431,01";
"09/2022";"10 - Saúde";"301 - Atenção básica";"2.164.928.121,87";"2.170.587.421,24";"2.179.707.289,47";"2.827.217,35";
"09/2022";"10 - Saúde";"423 - Assistência aos povos indígenas";"209.947.751,23";"192.746.594,60";"74.240.305,45";"1.841.550,21";
"09/2022";"10 - Saúde";"128 - Formação de recursos humanos";"150.052.302,21";"136.109.327,48";"136.509.433,16";"10.494.406,75";
"09/2022";"10 - Saúde";"122 - Administração geral";"50.272.834,42";"589.655.376,36";"592.630.087,53";"8.868.387,10";
"09/2022";"10 - Saúde";"571 - Desenvolvimento científico";"73.960.087,30";"49.808.472,58";"60.678.841,80";"23.782.807,71";
"09/2022";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"5.135.016.243,74";"4.863.175.427,50";"4.870.525.124,69";"36.428.169,96";
"10/2022";"10 - Saúde";"124 - Controle interno";"16.000,00";"4.860,16";"4.860,16";"0,00";
"10/2022";"10 - Saúde";"131 - Comunicação social";"0,00";"32.870.500,44";"35.711.715,75";"1.228.819,06";
"10/2022";"10 - Saúde";"306 - Alimentação e nutrição";"3.122.109,50";"385.519,50";"425.519,50";"228.133,50";
"10/2022";"10 - Saúde";"121 - Planejamento e orçamento";"28.648,14";"3.001.070,76";"59.717,76";"0,00";
"10/2022";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"0,00";"518.215,90";"518.215,90";"0,00";
